technician_id,name,department,hire_date
TECH0001,Jessica Brown,Installation,2021-04-16
TECH0002,William Davis,Repair,2023-01-13
TECH0003,William Jones,Maintenance,2020-08-11
TECH0004,Jessica Davis,Network Support,2022-03-29
TECH0005,David Smith,Customer Service,2018-12-19
TECH0006,Richard Garcia,Installation,2020-12-19
TECH0007,William Brown,Repair,2015-08-22
TECH0008,Mary Smith,Maintenance,2021-08-17
TECH0009,Linda Miller,Network Support,2023-04-15
TECH0010,William Jones,Customer Service,2018-05-08
TECH0011,Michael Brown,Installation,2018-02-05
TECH0012,Susan Davis,Repair,2018-11-19
TECH0013,John Garcia,Maintenance,2022-03-31
TECH0014,William Garcia,Network Support,2020-09-10
TECH0015,William Davis,Customer Service,2023-04-24
TECH0016,Robert Davis,Installation,2019-03-23
TECH0017,Jessica Brown,Repair,2019-01-22
TECH0018,Linda Smith,Maintenance,2017-07-08
TECH0019,Michael Johnson,Network Support,2017-09-03
TECH0020,Linda Smith,Customer Service,2016-09-15
TECH0021,Richard Smith,Installation,2016-05-30
TECH0022,Michael Brown,Repair,2015-11-16
TECH0023,James Jones,Maintenance,2017-10-02
TECH0024,Susan Smith,Network Support,2018-05-06
TECH0025,Robert Williams,Customer Service,2021-03-10
TECH0026,Robert Williams,Installation,2022-06-03
TECH0027,William Miller,Repair,2019-01-03
TECH0028,Mary Davis,Maintenance,2015-03-30
TECH0029,David Miller,Network Support,2020-11-03
TECH0030,Barbara Williams,Customer Service,2021-04-27
TECH0031,Patricia Smith,Installation,2016-07-15
TECH0032,William Davis,Repair,2020-07-27
TECH0033,David Brown,Maintenance,2017-07-31
TECH0034,Susan Williams,Network Support,2015-03-30
TECH0035,James Williams,Customer Service,2016-07-27
TECH0036,John Jones,Installation,2015-04-30
TECH0037,Patricia Miller,Repair,2023-02-10
TECH0038,William Smith,Maintenance,2020-11-15
TECH0039,James Williams,Network Support,2021-12-13
TECH0040,David Davis,Customer Service,2019-05-09
TECH0041,David Davis,Installation,2022-06-03
TECH0042,Jessica Williams,Repair,2015-01-12
TECH0043,Michael Davis,Maintenance,2021-10-09
TECH0044,James Smith,Network Support,2020-08-24
TECH0045,Patricia Davis,Customer Service,2021-05-06
TECH0046,John Jones,Installation,2015-01-17
TECH0047,Robert Brown,Repair,2017-01-30
TECH0048,John Miller,Maintenance,2017-07-26
TECH0049,James Miller,Network Support,2021-10-21
TECH0050,James Davis,Customer Service,2020-05-12
TECH0051,Patricia Johnson,Installation,2015-12-05
TECH0052,John Brown,Repair,2017-10-14
TECH0053,Linda Williams,Maintenance,2022-07-25
TECH0054,Robert Williams,Network Support,2018-03-05
TECH0055,Linda Johnson,Customer Service,2019-05-05
TECH0056,Richard Jones,Installation,2021-11-18
TECH0057,Michael Garcia,Repair,2021-01-08
TECH0058,Jennifer Smith,Maintenance,2017-11-04
TECH0059,John Brown,Network Support,2020-12-05
TECH0060,Jennifer Smith,Customer Service,2015-09-15
TECH0061,Barbara Smith,Installation,2018-04-03
TECH0062,Richard Jones,Repair,2019-03-20
TECH0063,Linda Smith,Maintenance,2018-03-24
TECH0064,Joseph Miller,Network Support,2017-03-11
TECH0065,Robert Williams,Customer Service,2017-02-25
TECH0066,Elizabeth Jones,Installation,2019-02-06
TECH0067,Elizabeth Smith,Repair,2022-10-19
TECH0068,Jennifer Johnson,Maintenance,2015-07-10
TECH0069,Patricia Smith,Network Support,2015-11-30
TECH0070,Elizabeth Brown,Customer Service,2016-08-09
TECH0071,David Brown,Installation,2021-10-31
TECH0072,James Smith,Repair,2015-06-14
TECH0073,Linda Jones,Maintenance,2017-11-25
TECH0074,John Davis,Network Support,2017-08-23
TECH0075,Susan Smith,Customer Service,2019-09-23
TECH0076,Jennifer Miller,Installation,2022-05-24
TECH0077,Jessica Smith,Repair,2020-02-15
TECH0078,Elizabeth Smith,Maintenance,2021-05-12
TECH0079,John Jones,Network Support,2017-10-10
